9, 1242-005.1, Fraction, Fraction, , 
, , , , , 
, , , , , 
, , , , , 
, , Fraction  , Fraction  , , 
, , , , , 
, , , , , 
, , , , , 
, , , , , 
true, aliquot, 1242-005.1 , 1242-005.1 , true, 
true, aliquot, 1242-006.1 , 1242-006.1 , true, 
true, aliquot, 11892-001.1, 11892-001.1, true, 
true, aliquot, 11892-002.1, 11892-002.1, true, 
true, aliquot, 11892-007.1, 11892-007.1, true, 
true, aliquot, 11892-008.1, 11892-008.1, true, 
true, aliquot, 11892-009.1, 11892-009.1, true, 
true, aliquot, 11892-012.1, 11892-012.1, true, 
true, aliquot, 11888-002.1, 11888-002.1, true, 
true, aliquot, 11887-001.1, 11887-001.1, true, 
true, aliquot, 11892-022.1, 11892-022.1, true, 
true, aliquot, 1242-001.1 , 1242-001.1 , true, 
true, aliquot, 11888-007.1, 11888-007.1, true, 
true, aliquot, 11888-008.1, 11888-008.1, true, 
true, aliquot, 11888-011.1, 11888-011.1, true, 
true, aliquot, 1242-002.1 , 1242-002.1 , true, 
true, aliquot, 11888-009.1, 11888-009.1, true, 
true, aliquot, 11888-012.1, 11888-012.1, true, 
true, aliquot, 11888-014.1, 11888-014.1, true, 
true, aliquot, 11888-017.1, 11888-017.1, true, 
true, aliquot, 11888-023.1, 11888-023.1, true, 
true, aliquot, 11888-023.2, 11888-023.2, true, 
true, aliquot, 1242-003.1 , 1242-003.1 , true, 
true, aliquot, 11888-024.1, 11888-024.1, true, 
true, aliquot, 11888-027.1, 11888-027.1, true, 
true, aliquot, 11888-026.1, 11888-026.1, true, 
true, aliquot, 11888-028.1, 11888-028.1, true, 
true, aliquot, 11888-031.1, 11888-031.1, true, 
true, aliquot, 11888-030.1, 11888-030.1, true, 
true, aliquot, 1242-007.1 , 1242-007.1 , true, 
true, aliquot, 11888-033.1, 11888-033.1, true, 
true, aliquot, 11888-036.1, 11888-036.1, true, 
true, aliquot, 11888-044.1, 11888-044.1, true, 
true, aliquot, 11888-045.1, 11888-045.1, true, 
true, aliquot, 11888-046.1, 11888-046.1, true, 
true, aliquot, 11888-047.1, 11888-047.1, true, 
true, aliquot, 1242-008.1 , 1242-008.1 , true, 
true, aliquot, 11887-002.1, 11887-002.1, true, 
true, aliquot, 11887-004.1, 11887-004.1, true, 
true, aliquot, 11887-003.1, 11887-003.1, true, 
true, aliquot, 11887-007.1, 11887-007.1, true, 
true, aliquot, 11887-008.1, 11887-008.1, true, 
true, aliquot, 11887-011.1, 11887-011.1, true, 
true, aliquot, 1242-011.1 , 1242-011.1 , true, 
true, aliquot, 11887-009.1, 11887-009.1, true, 
true, aliquot, 11887-010.1, 11887-010.1, true, 
true, aliquot, 11887-012.1, 11887-012.1, true, 
true, aliquot, 11887-017.1, 11887-017.1, true, 
true, aliquot, 11887-018.1, 11887-018.1, true, 
true, aliquot, 11887-024.1, 11887-024.1, true, 
true, aliquot, 1242-010.1 , 1242-010.1 , true, 
true, aliquot, 11887-027.1, 11887-027.1, true, 
true, aliquot, 11887-029.1, 11887-029.1, true, 
true, aliquot, 11887-031.1, 11887-031.1, true, 
true, aliquot, 11887-030.1, 11887-030.1, true, 
